bsim4 ,waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y (OP("/PM0" "gm") * OP("/PM0" "rout"))) l_pmos 4.5e-08 ,bsim4 ,waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y (OP("/PM0" "gm") * OP("/PM0" "rout"))) l_pmos 9e-08 ,bsim4 ,waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y (OP("/PM0" "gm") * OP("/PM0" "rout"))) l_pmos 1.35e-07 ,bsim4 ,waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y (OP("/PM0" "gm") * OP("/PM0" "rout"))) l_pmos 1.8e-07 ,bsim4 ,waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y (OP("/PM0" "gm") * OP("/PM0" "rout"))) l_pmos 2.25e-07 ,bsim4 ,waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y (OP("/PM0" "gm") * OP("/PM0" "rout"))) l_pmos 2.7e-07 ,bsim4 ,waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y (OP("/PM0" "gm") * OP("/PM0" "rout"))) l_pmos 3.15e-07 ,bsim4 ,waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y (OP("/PM0" "gm") * OP("/PM0" "rout"))) l_pmos 3.6e-07 ,bsim4 ,waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y (OP("/PM0" "gm") * OP("/PM0" "rout"))) l_pmos 4.05e-07 ,bsim4 ,waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y (OP("/PM0" "gm") * OP("/PM0" "rout"))) l_pmos 4.5e-07 ,bsim4 ,waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y (OP("/PM0" "gm") * OP("/PM0" "rout"))) l_pmos 4.95e-07 ,bsim4 ,waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y (OP("/PM0" "gm") * OP("/PM0" "rout"))) l_pmos 5.4e-07 
2.830,6.101,2.455,6.485,2.344,6.509,2.314,6.548,2.310,6.581,2.313,6.579,2.320,6.536,2.326,6.455,2.331,6.344,2.335,6.211,2.337,6.065,2.346,6.038
3.899,8.402,3.220,8.893,3.011,9.085,2.942,9.358,2.920,9.654,2.914,9.929,2.916,10.16,2.922,10.35,2.928,10.49,2.935,10.58,2.941,10.63,2.951,10.80
5.792,11.86,4.485,12.29,4.061,12.61,3.902,13.14,3.830,13.73,3.794,14.33,3.774,14.90,3.764,15.43,3.758,15.93,3.755,16.37,3.754,16.77,3.757,17.25
9.206,16.68,6.821,17.22,5.939,17.67,5.578,18.45,5.391,19.35,5.278,20.25,5.203,21.13,5.150,21.98,5.110,22.79,5.079,23.54,5.053,24.26,5.034,24.98
13.99,20.97,11.26,23.55,9.723,24.88,8.998,26.28,8.578,27.63,8.301,28.92,8.101,30.14,7.948,31.28,7.826,32.36,7.726,33.36,7.641,34.31,7.565,35.16
18.26,23.06,17.63,27.78,16.77,31.94,16.08,35.26,15.53,37.89,15.09,40.11,14.73,42.03,14.42,43.74,14.17,45.27,13.94,46.66,13.74,47.93,13.56,48.97
23.34,27.08,23.94,30.78,24.46,34.64,24.66,38.14,24.64,41.11,24.54,43.71,24.41,46.01,24.27,48.08,24.12,49.95,23.98,51.65,23.84,53.21,23.70,54.53
27.90,31.42,29.68,36.02,30.29,39.03,30.46,41.52,30.47,43.55,30.41,45.29,30.33,46.81,30.25,48.15,30.16,49.36,30.07,50.45,29.99,51.44,29.95,52.26
29.98,33.49,32.37,38.88,33.05,42.00,33.29,44.60,33.41,46.77,33.46,48.63,33.49,50.26,33.49,51.69,33.49,52.95,33.48,54.09,33.46,55.11,33.49,55.96
30.86,34.40,33.40,40.03,34.08,43.23,34.35,45.92,34.51,48.19,34.61,50.16,34.68,51.88,34.73,53.40,34.77,54.76,34.80,55.98,34.82,57.08,34.89,58.00
31.16,34.71,33.64,40.30,34.37,43.57,34.67,46.32,34.85,48.64,34.97,50.65,35.06,52.42,35.13,53.98,35.18,55.37,35.22,56.61,35.25,57.74,35.32,58.69
