bsim4 ,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / 6.28 / OP("/NM0" "cgg"))) l_nmos 4.5e-08 ,bsim4 ,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / 6.28 / OP("/NM0" "cgg"))) l_nmos 1.35e-07 ,bsim4 ,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / 6.28 / OP("/NM0" "cgg"))) l_nmos 2.25e-07 ,bsim4 ,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / 6.28 / OP("/NM0" "cgg"))) l_nmos 3.15e-07 ,bsim4 ,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / 6.28 / OP("/NM0" "cgg"))) l_nmos 4.05e-07 ,bsim4 ,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / 6.28 / OP("/NM0" "cgg"))) l_nmos 4.95e-07 
29.76,90.36E3,33.08,33.38E3,33.38,31.88E3,33.50,30.27E3,33.57,28.16E3,33.61,25.90E3
29.65,1.787E6,32.92,934.7E3,33.16,915.8E3,33.23,869.7E3,33.25,802.4E3,33.24,730.2E3
28.95,33.24E6,31.92,22.91E6,31.89,20.94E6,31.72,18.32E6,31.53,15.74E6,31.36,13.50E6
26.65,492.4E6,28.42,345.2E6,27.72,254.5E6,27.08,193.4E6,26.59,151.7E6,26.20,122.2E6
21.33,3.955E9,21.91,2.246E9,21.30,1.464E9,20.73,1.048E9,20.27,792.4E6,19.90,622.0E6
16.35,15.78E9,16.69,8.606E9,15.57,5.190E9,14.73,3.469E9,14.15,2.490E9,13.73,1.880E9
13.48,47.15E9,11.57,20.95E9,10.30,10.94E9,9.662,6.828E9,9.295,4.724E9,9.061,3.491E9
9.936,99.56E9,7.496,32.33E9,6.803,15.86E9,6.513,9.723E9,6.367,6.697E9,6.285,4.950E9
6.572,139.8E9,5.043,38.98E9,4.738,19.00E9,4.622,11.67E9,4.560,8.049E9,4.514,5.937E9
4.389,155.1E9,3.566,41.45E9,3.397,20.05E9,3.292,12.11E9,3.206,8.175E9,3.134,5.912E9
3.086,155.3E9,2.573,40.06E9,2.416,18.75E9,2.317,11.06E9,2.249,7.365E9,2.199,5.281E9
2.271,147.7E9,1.861,35.70E9,1.738,16.30E9,1.670,9.507E9,1.625,6.288E9,1.593,4.491E9
