bsim4 ,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") * OP("/NM0" "rout"))) l_nmos 4.5e-08 ,bsim4 ,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") * OP("/NM0" "rout"))) l_nmos 1.35e-07 ,bsim4 ,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") * OP("/NM0" "rout"))) l_nmos 2.25e-07 ,bsim4 ,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") * OP("/NM0" "rout"))) l_nmos 3.15e-07 ,bsim4 ,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") * OP("/NM0" "rout"))) l_nmos 4.05e-07 ,bsim4 ,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") * OP("/NM0" "rout"))) l_nmos 4.95e-07 
29.76,16.24,33.08,25.98,33.38,29.28,33.50,31.43,33.57,33.08,33.61,34.46
29.65,16.20,32.92,25.91,33.16,29.17,33.23,31.30,33.25,32.92,33.24,34.27
28.95,15.92,31.92,25.41,31.89,28.53,31.72,30.52,31.53,32.03,31.36,33.28
26.65,15.04,28.42,23.88,27.72,26.67,27.08,28.48,26.59,29.90,26.20,31.11
21.33,12.97,21.91,21.15,21.30,24.42,20.73,26.75,20.27,28.62,19.90,30.21
16.35,11.10,16.69,19.50,15.57,22.92,14.73,25.25,14.15,27.11,13.73,28.70
13.48,10.50,11.57,16.68,10.30,19.21,9.662,21.17,9.295,22.84,9.061,24.30
9.936,9.155,7.496,12.49,6.803,14.43,6.513,15.96,6.367,17.16,6.285,18.09
6.572,6.951,5.043,8.739,4.738,9.824,4.622,10.18,4.560,9.926,4.514,9.291
4.389,5.005,3.566,5.684,3.397,5.400,3.292,4.620,3.206,3.918,3.134,3.406
3.086,3.588,2.573,3.241,2.416,2.584,2.317,2.142,2.249,1.865,2.199,1.684
2.271,2.566,1.861,1.792,1.738,1.426,1.670,1.227,1.625,1.103,1.593,1.020
