bsim4 ,waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y (OP("/PM0" "gm") / 6.28 / OP("/PM0" "cgg"))) l_pmos 4.5e-08 ,bsim4 ,waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y (OP("/PM0" "gm") / 6.28 / OP("/PM0" "cgg"))) l_pmos 9e-08 ,bsim4 ,waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y (OP("/PM0" "gm") / 6.28 / OP("/PM0" "cgg"))) l_pmos 1.35e-07 ,bsim4 ,waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y (OP("/PM0" "gm") / 6.28 / OP("/PM0" "cgg"))) l_pmos 1.8e-07 ,bsim4 ,waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y (OP("/PM0" "gm") / 6.28 / OP("/PM0" "cgg"))) l_pmos 2.25e-07 ,bsim4 ,waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y (OP("/PM0" "gm") / 6.28 / OP("/PM0" "cgg"))) l_pmos 2.7e-07 ,bsim4 ,waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y (OP("/PM0" "gm") / 6.28 / OP("/PM0" "cgg"))) l_pmos 3.15e-07 ,bsim4 ,waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y (OP("/PM0" "gm") / 6.28 / OP("/PM0" "cgg"))) l_pmos 3.6e-07 ,bsim4 ,waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y (OP("/PM0" "gm") / 6.28 / OP("/PM0" "cgg"))) l_pmos 4.05e-07 ,bsim4 ,waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y (OP("/PM0" "gm") / 6.28 / OP("/PM0" "cgg"))) l_pmos 4.5e-07 ,bsim4 ,waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y (OP("/PM0" "gm") / 6.28 / OP("/PM0" "cgg"))) l_pmos 4.95e-07 ,bsim4 ,waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y (OP("/PM0" "gm") / 6.28 / OP("/PM0" "cgg"))) l_pmos 5.4e-07 
2.830,112.3E9,2.455,57.77E9,2.344,36.33E9,2.314,25.31E9,2.310,18.73E9,2.313,14.46E9,2.320,11.52E9,2.326,9.405E9,2.331,7.824E9,2.335,6.612E9,2.337,5.661E9,2.346,4.881E9
3.899,112.5E9,3.220,57.59E9,3.011,35.96E9,2.942,24.88E9,2.920,18.32E9,2.914,14.09E9,2.916,11.20E9,2.922,9.124E9,2.928,7.584E9,2.935,6.409E9,2.941,5.490E9,2.951,4.727E9
5.792,107.0E9,4.485,55.78E9,4.061,34.59E9,3.902,23.74E9,3.830,17.35E9,3.794,13.26E9,3.774,10.47E9,3.764,8.490E9,3.758,7.029E9,3.755,5.919E9,3.754,5.056E9,3.757,4.337E9
9.206,87.49E9,6.821,50.78E9,5.939,31.84E9,5.578,21.77E9,5.391,15.81E9,5.278,12.00E9,5.203,9.423E9,5.150,7.598E9,5.110,6.259E9,5.079,5.247E9,5.053,4.464E9,5.034,3.812E9
13.99,48.49E9,11.26,38.40E9,9.723,26.13E9,8.998,18.30E9,8.578,13.39E9,8.301,10.18E9,8.101,7.990E9,7.948,6.431E9,7.826,5.286E9,7.726,4.421E9,7.641,3.752E9,7.565,3.195E9
18.26,15.51E9,17.63,17.95E9,16.77,14.71E9,16.08,11.19E9,15.53,8.568E9,15.09,6.703E9,14.73,5.363E9,14.42,4.379E9,14.17,3.638E9,13.94,3.069E9,13.74,2.623E9,13.56,2.247E9
23.34,2.893E9,23.94,4.226E9,24.46,3.845E9,24.66,3.067E9,24.64,2.438E9,24.54,1.970E9,24.41,1.622E9,24.27,1.359E9,24.12,1.156E9,23.98,996.1E6,23.84,868.0E6,23.70,758.7E6
27.90,271.2E6,29.68,418.7E6,30.29,421.3E6,30.46,360.3E6,30.47,299.5E6,30.41,248.8E6,30.33,208.7E6,30.25,177.1E6,30.16,152.1E6,30.07,132.1E6,29.99,116.0E6,29.95,102.0E6
29.98,15.86E6,32.37,20.42E6,33.05,20.54E6,33.29,18.68E6,33.41,16.69E6,33.46,14.83E6,33.49,13.18E6,33.49,11.76E6,33.49,10.54E6,33.48,9.489E6,33.46,8.587E6,33.49,7.735E6
30.86,769.3E3,33.40,767.3E3,34.08,720.5E3,34.35,643.5E3,34.51,574.3E3,34.61,514.3E3,34.68,462.7E3,34.73,418.6E3,34.77,380.8E3,34.80,348.2E3,34.82,319.9E3,34.89,290.9E3
31.16,34.42E3,33.64,26.36E3,34.37,22.88E3,34.67,19.74E3,34.85,17.26E3,34.97,15.24E3,35.06,13.58E3,35.13,12.20E3,35.18,11.04E3,35.22,10.06E3,35.25,9.220E3,35.32,8.327E3
